[Spindles/CZ-A1]
    7.4500	    0.9050
   10.0500	    0.5050
   10.7500	    0.7050
   21.9500	    1.3050
   29.8500	    2.8050
   36.5500	    0.7050
   43.5500	    0.9050
  136.6500	    1.5050
  150.6500	    0.9050
  176.8500	    1.2050
  217.6500	    0.8050
  227.7500	    1.0050
  229.6500	    0.8050
  232.5500	    0.6050
  240.6500	    1.0050
  244.4500	    0.7050
  263.7500	    0.6050
  281.1500	    0.8050
  284.7500	    0.7050
  307.5500	    1.1050
  583.4500	    0.7050
  629.1500	    0.9450
  763.4500	    0.6050
  764.2500	    0.8050
  775.3500	    1.0050
  806.5500	    0.9500
  858.1500	    0.7050
  863.9500	    1.2050
  878.5500	    0.8800
 1136.3500	    0.9500
 1145.9500	    1.0050
 1165.4500	    1.2050
 1169.3500	    1.2050
 1213.0500	    0.8050
 1214.0500	    0.5050
 1221.8500	    0.6050
 1225.0500	    0.5050
 1416.1500	    0.5050
 1459.7500	    0.5050
 1473.2500	    0.7050
 1478.9500	    0.9050
 1612.4500	    0.7050
 1641.9500	    0.5050
 1653.3900	    1.4650
 1675.6500	    0.5050
 1683.6500	    1.1050
 1688.9500	    0.6250
 1692.2500	    1.5050
 1693.9500	    1.1050
 1738.3500	    0.5050
 1779.9500	    1.3050
 1789.9500	    0.7050
