[vis1_Spindles/CZ-A1]
   13.6700	    0.8700
   20.0900	    0.5000
   30.8000	    1.2800
   33.1700	    0.5900
   36.7400	    0.5200
   71.1500	    0.6500
   76.4300	    0.6100
   83.4300	    0.5700
   89.2200	    0.5400
  113.6100	    0.6300
  128.4600	    0.7400
  132.1100	    0.7600
  138.5900	    0.6300
  141.2200	    0.5200
  151.7600	    0.8700
  157.5400	    1.0200
  186.5200	    0.5000
  189.7600	    0.6300
  457.0400	    0.5000
  467.8500	    0.9600
  516.1700	    0.7400
  575.1300	    0.6100
  586.2400	    0.9800
  605.9800	    0.5700
  610.6700	    0.7600
  652.9300	    0.5200
  669.2400	    0.7000
  673.9300	    0.7600
  683.1700	    0.8500
  727.2400	    0.7800
  732.4100	    0.5900
  751.7600	    0.5400
  760.0700	    0.8300
  764.8900	    0.5200
  770.3000	    0.9100
  773.6100	    0.7200
  796.9100	    0.7800
  807.3700	    0.5200
  814.0900	    0.7600
  818.2200	    1.1500
  820.9300	    0.8300
  824.1100	    0.5400
  828.6700	    0.5400
  831.3000	    0.7600
  861.3000	    0.6100
  872.7800	    0.5000
  875.1500	    0.6500
  877.2600	    0.9600
  887.8000	    0.5200
  892.7800	    0.7200
  931.2600	    0.7800
  946.0000	    1.0700
  965.8700	    0.7600
  973.7400	    0.8900
  977.3900	    0.8500
  981.5000	    0.8700
